inventoryItemCode,inventoryItemId,inventoryItemDescription,initialInventory,mov,value
9863198,1313,"Mushroom - Chanterelle, Dry",6175924.0871,8431781.322,5884497.0835
5302920,7530,Orange Roughy 6/8 Oz,3295732.519,6553078.3893,5691018.7822
8601013,7194,Muffin Hinge 117n,7376693.2291,1974595.9939,6858258.8219
2098224,9405,Cattail Hearts,4239307.4223,9435235.4872,1173361.684
2356974,7277,Chocolate - Semi Sweet,7071458.7205,4980176.9894,9705851.901
2607355,3596,"7up Diet, 355 Ml",7536843.3436,8681409.4759,9696626.9045
6387242,9828,"Stock - Beef, White",1929189.2314,1180254.2519,4929983.2796
9667520,8099,Banana - Leaves,3618317.4389,2266484.1763,5967721.9416
5685941,8551,Extract Vanilla Pure,8017170.026,2975810.2467,5777431.1742
8044612,8647,Quail - Jumbo,4149525.1863,9082293.364,1472733.1295
9946084,6408,Taro Leaves,4530248.7813,7378416.1,9472481.1632
6944191,5304,Bread - Corn Muffaleta Onion,5867320.3754,3069352.1789,8430768.7987
1217217,5529,Bagel - Plain,2663116.6955,1104494.052,5104575.4741
9170388,7740,Truffle Cups - Brown,7247205.6052,5928870.0336,3042928.5205
3422796,3419,Beer - Blue Light,7378182.4366,9688816.1547,1452531.2149
3960312,6399,Spaghetti Squash,3245461.8877,7289892.1331,3582611.871
3028720,2654,Muskox - French Rack,6296366.1442,2870475.2557,2251044.914
7619993,2807,"Nut - Cashews, Whole, Raw",2013838.0075,7935004.3199,1269788.0487
5829977,4327,Wine - Maipo Valle Cabernet,4908286.5494,7057186.5646,7972837.9786
4316745,5537,Coffee - Dark Roast,4901875.7612,6454132.7488,6070045.0412
2495382,4019,"Beef - Kindney, Whole",5878533.7837,7811438.5543,6175715.0239
5771639,2516,Breadfruit,1768994.6085,3398361.7313,9196288.5239
1907979,6686,Wine - Fat Bastard Merlot,8205995.0856,9034514.6129,2920323.2287
6673978,5830,Magnotta Bel Paese Red,8626770.5144,5096373.5715,7861304.9604
1250452,7683,Grenadine,5081823.6242,8056537.2884,2203491.6377
7477650,2204,Wine - Rosso Toscano Igt,8588744.078,2990020.5735,6205287.2004
9101125,2727,Muffin Mix - Blueberry,9121523.3043,2479239.6524,4998054.3597
2633361,5115,Wine - Fat Bastard Merlot,9064656.9122,7938852.844,8624089.3375
4947717,3832,Beef - Inside Round,5242272.6857,7789679.0707,5693741.2474
2592297,3238,Macaroons - Homestyle Two Bit,4026822.0134,2777333.7109,4909157.1556
7468507,3925,Cheese - Mascarpone,3031940.0938,3960230.9869,7495013.0572
7222240,5695,Lemonade - Pineapple Passion,8786350.3344,6836061.7373,2495741.1122
4031956,9187,Cleaner - Lime Away,2550201.9019,5663725.8742,2184791.5882
7646213,4528,Cheese - Roquefort Pappillon,9086708.6524,1235532.2518,6618031.3827
8902871,3948,Cranberries - Fresh,7900000.5309,7266127.8296,5880510.1273
6816931,7853,Wine - Valpolicella Masi,7148014.8094,9197725.3699,5402439.2558
5731370,1624,Broom And Brush Rack Black,1971726.5872,8813807.3195,6544759.2148
7077332,7832,Flavouring - Raspberry,6803217.8497,7410099.2988,8606651.8277
7024947,6411,Longos - Penne With Pesto,1031320.8998,8789271.8663,3488903.8296
2258881,6227,Chutney Sauce - Mango,6783582.7443,6960110.9807,8731095.5019
6609250,8586,Pepper - Pablano,2760564.8197,9929733.6718,5358391.7656
7358466,1804,Nougat - Paste / Cream,5512912.2486,1254954.4041,2670160.5481
5802766,2756,Sage Derby,7056139.8679,1601473.0528,4643961.0012
6668409,4789,Salad Dressing,4268115.9451,6402726.3757,3392473.9102
1226692,1195,Soup - Campbells - Chicken Noodle,8029511.5934,7239848.4696,3472468.3222
6870220,1143,"Jam - Blackberry, 20 Ml Jar",9140867.7941,3792101.8604,1786028.1241
3032590,1044,Duck - Breast,8253197.8729,7905246.4632,6117515.2786
3312239,4165,Cheese - Blue,6492244.6443,2263131.865,4372593.6199
3845137,8434,Bread Fig And Almond,9779443.1394,9438942.2546,7978769.2723
7920277,9932,Apple - Fuji,7126531.283,7200766.5945,6131636.1614
5498922,7605,Flower - Daisies,1376892.946,8723763.0652,5776475.5641
7272584,6137,Shrimp - Black Tiger 13/15,1423782.2781,2312979.7068,2133141.6214
8176581,4829,Pork - Inside,9970547.8869,8176318.9936,7956425.0171
5616946,5843,Chinese Foods - Pepper Beef,6765411.2291,4991956.4964,6914366.6443
2584445,5320,Napkin - Beverage 1 Ply,7653190.3284,9601773.837,6842737.5886
8795553,2628,Scallops - 10/20,2487162.1316,2896255.441,3957361.9608
8668077,3322,"Wine - Sherry Dry Sack, William",1978691.901,9984792.1717,6589836.3916
9585451,3673,Coffee Decaf Colombian,4124109.9718,1110672.5644,3347262.4213
1950375,1321,Flax Seed,7374384.4088,7616814.2474,2589748.5144
4542196,9032,Potatoes - Yukon Gold 5 Oz,8102973.4044,2598791.713,7403980.6714
7731202,3595,Canada Dry,9169675.5129,6869252.0589,5014123.1567
2036459,3933,Cocoa Butter,7698587.7998,7991228.2933,4178420.3941
6401424,6246,Lettuce - Boston Bib - Organic,1408270.473,9939162.2813,8373840.5816
2374856,7637,Cranberries - Fresh,6032814.9459,2192240.3207,4527593.5274
5036423,5464,Wine - Cava Aria Estate Brut,1887534.6658,9508833.4654,5328391.6361
4438937,3518,Cheese - Shred Cheddar / Mozza,6877584.0505,3161957.1503,2667987.4193
3134082,6210,Veal - Slab Bacon,1891190.5485,4640027.797,6119713.5722
2099357,5562,Tomatoes - Hot House,8870895.3237,6335869.3812,7612374.1211
6511971,4471,Mcguinness - Blue Curacao,9447735.9893,4831614.4497,1919007.3786
8600684,4254,Sponge Cake Mix - Chocolate,8371199.1712,4607873.677,5930423.8757
7345852,2962,Melon - Cantaloupe,3613033.665,7498669.4061,4825016.8243
2793598,8016,Dry Ice,2459365.0526,5906979.8238,5442432.083
4945498,4006,Apple - Granny Smith,8034275.7986,6475911.5069,1873341.4688
7043024,5991,Beer - Mill St Organic,1240571.1042,1939966.7316,7251865.1776
8308697,3511,Puree - Guava,5025667.2357,8861381.2871,8204941.4087
7796992,6401,Teriyaki Sauce,1912845.7961,7393628.7245,5292186.4171
8887647,5223,Cookie Chocolate Chip With,3880433.8619,4133389.6475,1232159.9211
3414512,2260,Monkfish - Fresh,7247917.7167,6036727.3203,4504653.3501
4894867,4673,Sugar - Palm,4584612.0594,1514959.9466,5846061.7937
3277836,3980,Beans - Fava Fresh,5577306.0567,5869239.7524,2056265.3985
2933022,7835,Container - Hngd Cll Blk 7x7x3,2268972.0808,3191043.4325,5568776.4761
2546987,9911,Wine - Beringer Founders Estate,7168419.4962,7666126.3424,5399104.5193
1013643,4441,Wakami Seaweed,3306613.8698,2558698.9826,4041582.7745
3339707,4456,Ocean Spray - Ruby Red,8043335.4776,5866706.3667,8245407.9209
4180855,5224,Flour Pastry Super Fine,1896811.0854,2729685.8055,1264661.304
3195450,7022,"Sauce - White, Mix",7942065.6497,8730876.9529,5832241.7416
1363908,8373,Sauce - Alfredo,7282374.7905,9582489.0144,1544161.2662
1918046,9990,Snapple - Mango Maddness,5101499.6347,2372510.0646,9917888.815
3200267,4580,Sea Bass - Fillets,1835515.0533,5201860.1737,6061356.9743
6948569,9511,Puree - Mocha,3684268.3352,6696155.1244,7633594.5949
9039309,4184,Oil - Cooking Spray,4227166.7604,8592565.3866,8428415.3598
8998627,9258,Gatorade - Lemon Lime,3769806.6942,5534294.753,8654124.339
5952016,2688,Plasticforkblack,9575497.1028,4000985.5403,9545245.1553
1696544,9514,"Wine - Red, Marechal Foch",2311727.8043,8412209.1904,6681218.517
6164842,3634,Octopus,6156412.1545,9936307.3283,2490333.971
1777772,6323,"Mushrooms - Black, Dried",6676268.3427,5571595.2887,6403227.8335
2326866,5798,Soup - Campbells Mushroom,7501206.5239,7859225.0874,9458228.6324
5493565,3069,Cup - 8oz Coffee Perforated,8590253.1752,1933368.0684,5054524.8864
1718482,2868,Coffee - Decaffeinato Coffee,4067333.8432,8315007.9339,1684887.8369
5736865,8821,Pickerel - Fillets,5965930.6195,8263203.0195,7654911.4046
1808620,5766,Cakes Assorted,3449769.8255,9814911.5815,1928428.2485
8643241,3511,Mix - Cappucino Cocktail,6367302.1174,2867834.9814,1869135.0253
1523496,1081,"Quail - Eggs, Fresh",4444526.2907,4924833.8808,7541965.7352
9189277,6096,"Pepper - Julienne, Frozen",2797375.6719,1712997.9456,1386360.0237
1832287,9701,Wine - Pinot Noir Stoneleigh,9438799.9402,5684391.9796,1697808.0699
4647755,5141,Glass Clear 8 Oz,1891109.7045,8031362.8569,6981597.4813
9176672,4215,"Brownies - Two Bite, Chocolate",1217181.6408,5985710.3683,5186389.0772
6076107,9676,"Flour - Bran, Red",4187267.5436,9306445.5306,4497856.0807
2670394,1329,Smirnoff Green Apple Twist,5397127.302,9977630.0987,4461769.5285
5440671,4030,"Rum - Coconut, Malibu",6173483.7151,2419564.922,2428963.237
7942296,3904,Cake - Night And Day Choclate,1245420.1774,9226317.6637,6570874.5181
5374349,3866,Cake - Bande Of Fruit,6664345.984,1706714.041,6790579.4372
6181603,9855,"Juice - Tomato, 10 Oz",4712062.278,5576878.0047,8467750.1612
6788389,6975,Tea - Apple Green Tea,7199101.7289,3514711.6212,3957178.283
2165428,4024,Curry Paste - Green Masala,1829603.2872,9841678.2155,3143588.2504
9469182,3865,Oil - Olive Bertolli,2779751.7109,1722351.0925,2287891.5758
2470383,9220,Clementine,1951356.9987,4721341.0637,6274459.0131
8306053,5484,Couscous,8094263.5328,2689942.1364,3894826.142
3813256,6610,Lamb - Shoulder,7886030.0597,5461818.3958,4105063.6216
9154458,9478,Milk - Homo,1513999.4784,9465644.7604,8289720.0351
3007835,9456,"Appetizer - Mini Egg Roll, Shrimp",7023487.5335,2042777.7048,4906239.2598
5608051,5482,"Pasta - Canelloni, Single Serve",5854420.0992,8412614.5431,8762433.1622
2369199,2139,Island Oasis - Magarita Mix,6173646.3021,8630058.6778,2812408.2611
2413724,5116,"Beef - Roasted, Cooked",9335210.3492,2067539.9605,1749089.316
7871491,8697,Bread - Calabrese Baguette,1112034.9342,6272640.6031,9058258.4227
6860765,9779,Hand Towel,7760232.6212,8332310.3829,1352006.8702
4694148,8083,Brandy Cherry - Mcguinness,2629825.3098,7969023.6298,4384588.9595
5757637,4670,Veal - Liver,6144555.2851,2510005.6013,2540247.8472
2616210,2041,Cookie Dough - Oatmeal Rasin,9696449.8505,4005183.6669,7657979.9855
4352806,1347,Tart - Raisin And Pecan,4773292.0934,9294420.811,5608590.5236
4609152,4601,Numi - Assorted Teas,6876457.045,2310184.2551,3940935.522
8752561,7569,"Chocolate - Milk, Callets",4075697.0322,6341665.9027,7546633.8584
4564781,5536,Beer - Blue,2751821.0066,1505846.553,8357373.1917
2377868,3279,Juice - Propel Sport,5366723.578,9901068.0193,4201623.0907
4217147,2470,Almonds Ground Blanched,7398773.1036,6206689.2527,8357728.4805
1818151,3265,"Stock - Veal, White",3080108.2042,9667081.0702,6224834.4255
8281228,3732,Coffee Guatemala Dark,5351724.572,7927797.461,7220147.2638
4081608,3707,Wine - Beaujolais Villages,4743351.9175,6262533.736,4472216.358
8960558,8897,Wine - Charddonnay Errazuriz,3575609.9889,9234907.1793,1649761.1235
7744557,2126,Muffin Mix - Raisin Bran,4899225.6831,4118480.3738,1636925.0333
8518932,6249,"Lamb - Leg, Diced",7140320.0254,1468555.0121,2998754.6806
2127026,1278,Tart - Butter Plain Squares,3250977.747,3794720.8892,8212837.7814
7234749,7866,Apron,2941504.4893,8195873.2214,4680022.7258
9408449,1911,Lettuce Romaine Chopped,2644463.0484,6758251.9289,6824480.7995
2861685,3290,Wine - Saint Emilion Calvet,4025168.3583,4805571.8297,9370162.3964
3289843,6274,Corn - On The Cob,1775522.8314,7780185.9936,5862646.2886
5461895,5287,Turkey Tenderloin Frozen,9211565.8098,7560403.3101,3816959.2915
9619516,1275,Container - Hngd Cll Blk 7x7x3,2049387.7846,6581506.3898,3762478.7534
1113563,4251,Wine - Conde De Valdemar,3610256.6566,7783696.7803,4765850.0625
2861200,3069,"Pork - Back, Short Cut, Boneless",3889831.1727,6392245.0212,7308209.4362
6802984,1294,"Nut - Cashews, Whole, Raw",5761165.7399,4805139.3334,7210421.3279
7117455,7328,Tea - Lemon Green Tea,1929677.4785,1962082.7266,4487253.3966
2798855,1465,Flour Dark Rye,2222856.5804,8719347.7978,6404772.1751
1282089,4801,Prunes - Pitted,5353912.5205,1500802.2232,7052989.3237
8064315,2770,"Pepper - White, Ground",6032404.7681,4973759.7756,5233630.9934
9859630,6210,"Cheese - Brie, Cups 125g",1805710.7399,7695969.4864,8377930.8089
5680276,8114,Nectarines,2600366.4138,2852158.9821,4391843.9117
5493658,4212,Crawfish,9488901.8363,9511557.8694,8133170.4703
6302266,3284,Napkin - Beverage 1 Ply,8713432.8476,8923809.6075,8573162.0187
6032284,5560,Tea Peppermint,9982417.6996,1195944.6262,8935327.1031
1375487,1783,Wine - Magnotta - Bel Paese White,7631401.508,8377225.5603,4191639.6156
5666333,3972,"Beef - Bones, Marrow",1181316.8594,2521869.9868,8360215.9501
7577007,7176,Beef - Ground Lean Fresh,2762161.8249,5125346.1173,1798314.2864
2777551,5580,"Rum - Light, Captain Morgan",1037499.1089,6301009.7836,6978996.5907
1919245,2175,"Veal - Shank, Pieces",6104167.387,1386720.1044,2475815.4152
2892089,4267,Squid U5 - Thailand,6624392.5845,4979126.5528,3457265.6696
5348250,4053,Pastry - Banana Muffin - Mini,3977890.6716,4070732.4821,4224060.4626
6573422,7086,Duck - Breast,3367326.4702,2917440.1736,3901942.1957
9097352,2380,Truffle Shells - White Chocolate,3778625.3907,5992947.0478,7374681.3505
7675958,2881,"Chicken - Breast, 5 - 7 Oz",7216183.8887,9082802.1194,6044441.7566
2000537,3939,"Gingerale - Schweppes, 355 Ml",6848519.4783,4206837.1199,3754937.2643
9252481,4751,Bread - Kimel Stick Poly,7028041.299,5088534.3823,4582226.73
5055582,1638,"Cup - 3.5oz, Foam",6728835.1554,9852824.6499,3829848.686
7144235,1760,Sproutsmustard Cress,7570608.7029,9405290.629,1671166.2399
4459310,1822,Puree - Pear,6474950.5916,5076026.2169,9667247.9353
9053346,9035,Longos - Lasagna Veg,5915006.8086,2010258.9261,7138763.2851
7567959,7252,Island Oasis - Strawberry,7427738.9591,8516070.7218,8344936.3135
6651310,7319,Calypso - Pineapple Passion,2246430.0543,7394263.8682,7347068.4319
8850688,2408,Wine - Vidal Icewine Magnotta,7547596.036,4247509.4317,8171061.3338
9672844,9829,"Sauce - Black Current, Dry Mix",4870318.6364,7391379.4548,3230635.9673
5676773,2136,Venison - Racks Frenched,6888192.6148,1876066.662,8823766.6088
9047671,3433,"Syrup - Golden, Lyles",5692795.5551,8252342.0899,7705587.9245
5438640,5364,Potatoes - Parissienne,1820808.066,8685851.8002,5019606.9376
