itemPurchaseId,businessDate,itemPurchaseReferenceNumber,itemPurchaseComment
7376,2026-03-13,3148,
9821,2025-11-28,,
2645,2025-10-29,2855,
1635,2026-03-06,5039,
9015,2026-07-10,1563,
6212,2025-07-31,,
3356,2026-01-05,,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
8779,2025-01-24,,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae
4069,2026-05-27,1862,
9273,2025-08-19,,
8502,2025-04-11,3945,
1251,2026-06-15,5072,
2766,2025-03-19,,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim
5194,2026-01-09,,
1508,2025-04-29,,
7406,2025-06-29,,
7170,2026-02-15,,
1619,2025-12-02,2487,
6387,2025-09-19,,
5748,2025-03-28,,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est
6403,2025-09-11,,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
1025,2025-12-28,,
3672,2025-05-27,,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
7694,2025-04-06,,
2932,2026-04-28,,
2689,2026-06-30,,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
2328,2025-09-07,5627,
3597,2026-05-21,8278,
1956,2025-11-30,,
9183,2026-07-04,,
7332,2025-12-13,8604,
3395,2025-11-16,,
5857,2025-11-10,,
5366,2026-02-21,9283,accumsan tellus nisi eu orci mauris lacinia sapien quis libero
7720,2026-08-13,8965,
7160,2025-07-28,,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
6308,2026-08-17,8851,
8502,2026-03-05,,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate
9516,2026-06-12,8808,
4970,2025-03-27,,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
1791,2025-06-06,,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris
3236,2025-04-19,7882,diam id ornare imperdiet sapien urna pretium nisl ut volutpat
7631,2025-01-06,,
4904,2026-08-07,,
5168,2025-11-09,,
4451,2026-08-23,3640,
2279,2026-07-06,4823,
1081,2025-01-06,3621,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
2436,2025-04-13,6657,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend
1784,2025-11-02,,
2117,2026-02-22,7036,
9122,2025-03-14,,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed
6824,2026-01-12,7546,
7952,2026-05-19,,
7872,2026-04-11,,
4704,2026-01-25,,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
8923,2025-10-31,8850,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
2049,2025-08-03,,
8152,2026-01-06,,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut
3110,2025-09-28,7706,magnis dis parturient montes nascetur ridiculus mus etiam vel augue
8334,2025-01-22,1345,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
4344,2026-03-09,6386,
5816,2026-04-13,,
3240,2025-05-12,1928,
6105,2025-04-30,,
8068,2026-04-04,,
5211,2026-08-08,2193,
1231,2025-02-09,7499,
9210,2026-07-29,,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus
5982,2026-03-15,,
7336,2026-08-02,7116,
1458,2026-03-27,,lacinia sapien quis libero nullam sit amet turpis elementum ligula
8711,2026-01-14,,
6597,2026-03-16,,
7967,2025-03-07,,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
4483,2025-09-18,,
3755,2025-11-23,,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non
1831,2025-10-25,7140,
9490,2026-08-18,9605,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
6029,2025-07-08,,
1772,2026-05-27,,
7185,2025-04-28,,
1061,2025-04-26,2896,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper
6292,2025-05-13,,
9469,2026-06-21,,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
3568,2025-09-29,,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
5562,2025-04-17,1364,
3777,2025-08-14,,
2430,2025-08-25,,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
5432,2026-06-29,1228,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus
7352,2025-09-20,,
4617,2026-07-22,7246,
7153,2025-06-18,9017,
7642,2025-01-16,,
8239,2026-01-25,4582,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
1242,2025-03-19,1755,turpis a pede posuere nonummy integer non velit donec diam neque
9899,2025-05-05,6271,
8291,2025-03-05,,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
7455,2025-02-08,5431,
2273,2026-08-03,,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
1916,2025-03-22,,
2387,2025-08-03,,
5642,2026-07-03,7232,
7946,2026-05-18,9690,
1529,2025-10-29,6908,
9333,2026-08-05,9281,
5038,2025-06-03,8585,
1419,2026-04-25,7848,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
6634,2025-12-05,,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula
7385,2025-09-07,,
2646,2025-07-03,5577,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh
2833,2026-05-31,,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in
4439,2025-02-14,6456,
7998,2026-03-21,8129,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
3787,2026-02-23,,
6721,2025-02-25,8283,
8975,2025-02-13,5160,
6103,2025-09-12,,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit
3855,2026-05-06,,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
9239,2025-11-03,,
9333,2025-07-29,,
8398,2025-10-31,,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus
4450,2025-03-19,9163,
1459,2026-01-23,,
9182,2026-01-15,4205,
4775,2025-06-23,,
3972,2025-08-06,,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
7164,2026-01-10,,
1820,2025-04-24,,
8512,2025-01-03,,
2565,2025-05-05,,
5992,2026-07-05,,
1617,2025-01-30,,
7823,2025-05-20,,
9530,2026-01-12,,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin
4002,2025-11-11,,
6471,2026-08-15,,
8016,2025-10-02,,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
4574,2025-01-30,,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
4686,2026-01-11,,
6526,2026-08-01,,
9191,2026-05-28,8983,
1117,2025-09-03,8811,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris
8328,2025-11-25,4301,
8360,2026-09-01,,diam id ornare imperdiet sapien urna pretium nisl ut volutpat
1851,2025-10-22,2884,ac lobortis vel dapibus at diam nam tristique tortor eu
5415,2025-09-09,,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
5778,2025-10-13,4707,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
2476,2025-08-26,8154,
9247,2026-06-09,4555,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at
1209,2025-08-17,1759,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
8546,2025-12-05,5628,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci
4852,2025-05-06,2915,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non
1584,2025-02-04,,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas
4422,2025-12-10,2695,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
6645,2025-06-17,2679,
6779,2025-06-16,,
5341,2026-02-06,,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id
8202,2026-07-02,1190,
1978,2025-07-17,,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
7312,2025-07-03,3606,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris
8294,2025-10-14,,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
4615,2025-08-15,3207,
3254,2026-08-14,1068,
5478,2025-04-01,1801,
6735,2025-04-20,,
1360,2025-02-14,6581,
4475,2026-01-06,2790,
6078,2025-09-24,9393,dui vel sem sed sagittis nam congue risus semper porta
9994,2025-09-17,8630,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget
4318,2026-02-16,,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie
5036,2025-03-26,,
8604,2026-07-30,,
3913,2025-06-24,,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
1848,2025-01-08,,
5361,2025-03-23,,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
3993,2025-03-20,4767,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
4534,2025-09-15,3079,
4866,2025-03-17,9678,
7438,2025-04-02,,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
6403,2026-06-15,3307,nec sem duis aliquam convallis nunc proin at turpis a pede
6665,2025-02-03,4699,
2487,2025-09-07,,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et
4226,2026-06-12,,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
2115,2025-01-25,,
3460,2025-03-07,7084,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam
8184,2025-05-10,,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
8333,2025-01-17,9228,
6325,2025-12-21,3160,id ligula suspendisse ornare consequat lectus in est risus auctor
9149,2025-06-14,9987,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum
5871,2026-07-06,,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
9556,2025-02-22,,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
4777,2025-10-31,2333,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum
6960,2025-09-26,,
9248,2025-07-21,,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
4608,2025-04-14,,nunc vestibulum ante ipsum primis in faucibus orci luctus et
2978,2026-07-16,,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus
7772,2026-07-19,,
9699,2025-08-29,,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque
4137,2026-05-29,,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
7683,2025-11-25,,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
4508,2026-04-30,,eu massa donec dapibus duis at velit eu est congue elementum in hac
6316,2026-06-28,,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
8707,2025-02-28,3744,
4711,2026-02-01,,
6752,2025-07-04,,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
6399,2026-02-07,4138,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
6869,2025-11-10,,
4682,2026-06-09,,
7480,2026-02-19,,
1724,2025-12-17,5013,
5830,2025-05-20,7168,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
